Identifyer,mesor,pval_lombout,pwr_lombout,period_lombout,pval_cos,phi_cos,phi_SE_cos,amp_cos,amp_SE_cos,PR_cos,period_auto,pwr_auto,window_start,window_end,window
IND 26,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-14T12:00:00Z,2020-03-17T11:00:00Z,1
IND 26,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-15T12:00:00Z,2020-03-18T11:00:00Z,2
IND 26,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-16T12:00:00Z,2020-03-19T11:00:00Z,3
IND 27,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-14T12:00:00Z,2020-03-17T11:00:00Z,1
IND 27,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-15T12:00:00Z,2020-03-18T11:00:00Z,2
IND 27,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-16T12:00:00Z,2020-03-19T11:00:00Z,3
IND 28,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-14T12:00:00Z,2020-03-17T11:00:00Z,1
IND 28,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-15T12:00:00Z,2020-03-18T11:00:00Z,2
IND 28,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-16T12:00:00Z,2020-03-19T11:00:00Z,3
IND 29,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-14T12:00:00Z,2020-03-17T11:00:00Z,1
IND 29,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-15T12:00:00Z,2020-03-18T11:00:00Z,2
IND 29,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-16T12:00:00Z,2020-03-19T11:00:00Z,3
IND 3,12.0367205910674,0.00347273105720393,6.81338597399663,24.9122807017544,0.00184484856155553,-153.557537050924,14.8755350439105,6.2359006289593,1.67794976570129,16.6793815804299,11,0.0727534550020254,2020-03-14T12:00:00Z,2020-03-17T11:00:00Z,1
IND 3,13.9583333333333,NA,-Inf,NA,0.685665603124488,-151.49604650409,65.7715413883998,1.23040214238424,1.41241547143491,1.08785188355826,5,0.0171899335096498,2020-03-15T12:00:00Z,2020-03-18T11:00:00Z,2
IND 3,15.7357731301724,7.00980390441593e-4,8.41360267261222,24.3150684931507,1.57861505742485e-4,-344.96154379928,12.6649786859298,3.72916681529452,0.835348913637997,22.4101149543919,4,0.0625332812699544,2020-03-16T12:00:00Z,2020-03-19T11:00:00Z,3
IND 30,41.3885143989893,0.28900130083393,2.27968023330244,27.6264591439689,0.659430594816623,-168.638607565549,65.9534453073285,9.76798552392961,10.6717152343007,1.19964059322841,9,0.0572126001388854,2020-03-14T12:00:00Z,2020-03-17T11:00:00Z,1
IND 30,42.8593693092333,0.983339829516123,0.319762219869763,22.8295819935691,0.747312007133955,-89.6387471464741,73.4183117825485,8.34766200844276,10.9203422408463,0.840714183654216,17,0.0194007273061318,2020-03-15T12:00:00Z,2020-03-18T11:00:00Z,2
IND 30,131.88335018926,0.00539895213127915,6.37212242160394,25.9124087591241,0.00285957360905054,-307.48240317515,15.0947946235228,123.541317956767,34.5797292230174,15.6141552411936,3,-0.0190563855051988,2020-03-16T12:00:00Z,2020-03-19T11:00:00Z,3
IND 31,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-14T12:00:00Z,2020-03-17T11:00:00Z,1
IND 31,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-15T12:00:00Z,2020-03-18T11:00:00Z,2
IND 31,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-16T12:00:00Z,2020-03-19T11:00:00Z,3
IND 32,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-14T12:00:00Z,2020-03-17T11:00:00Z,1
